2024-07-16 14:20:41,325 DEBUG   HandlerThread:695505 [system_monitor.py:probe():223] {'os': 'Linux-5.4.0-172-generic-x86_64-with-glibc2.35', 'python': '3.10.12', 'heartbeatAt': '2024-07-16T14:20:41.322480', 'startedAt': '2024-07-16T14:20:40.604660', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '<python with no main file>', 'codePathLocal': None, 'host': 'd6fc84c44e5a', 'username': 'root', 'executable': '/bin/python', 'cpu_count': 48, 'cpu_count_logical': 96, 'cpu_freq': {'current': 2106.0400937500003, 'min': 1200.0, 'max': 3700.0}, 'cpu_freq_per_core': [{'current': 3201.89, 'min': 1200.0, 'max': 3700.0}, {'current': 2814.299, 'min': 1200.0, 'max': 3700.0}, {'current': 3238.589, 'min': 1200.0, 'max': 3700.0}, {'current': 2903.811, 'min': 1200.0, 'max': 3700.0}, {'current': 2907.856, 'min': 1200.0, 'max': 3700.0}, {'current': 2914.714, 'min': 1200.0, 'max': 3700.0}, {'current': 3138.145, 'min': 1200.0, 'max': 3700.0}, {'current': 2908.401, 'min': 1200.0, 'max': 3700.0}, {'current': 2908.933, 'min': 1200.0, 'max': 3700.0}, {'current': 3363.633, 'min': 1200.0, 'max': 3700.0}, {'current': 2914.728, 'min': 1200.0, 'max': 3700.0}, {'current': 2915.336, 'min': 1200.0, 'max': 3700.0}, {'current': 2902.895, 'min': 1200.0, 'max': 3700.0}, {'current': 2903.393, 'min': 1200.0, 'max': 3700.0}, {'current': 2911.34, 'min': 1200.0, 'max': 3700.0}, {'current': 2905.508, 'min': 1200.0, 'max': 3700.0}, {'current': 3085.777, 'min': 1200.0, 'max': 3700.0}, {'current': 3216.892, 'min': 1200.0, 'max': 3700.0}, {'current': 3399.038, 'min': 1200.0, 'max': 3700.0}, {'current': 3112.594, 'min': 1200.0, 'max': 3700.0}, {'current': 3221.907, 'min': 1200.0, 'max': 3700.0}, {'current': 2807.522, 'min': 1200.0, 'max': 3700.0}, {'current': 3497.346, 'min': 1200.0, 'max': 3700.0}, {'current': 2923.455, 'min': 1200.0, 'max': 3700.0}, {'current': 1201.362, 'min': 1200.0, 'max': 3700.0}, {'current': 1233.134, 'min': 1200.0, 'max': 3700.0}, {'current': 1368.815, 'min': 1200.0, 'max': 3700.0}, {'current': 1377.118, 'min': 1200.0, 'max': 3700.0}, {'current': 1376.896, 'min': 1200.0, 'max': 3700.0}, {'current': 1378.194, 'min': 1200.0, 'max': 3700.0}, {'current': 1367.607, 'min': 1200.0, 'max': 3700.0}, {'current': 1273.341, 'min': 1200.0, 'max': 3700.0}, {'current': 1894.268, 'min': 1200.0, 'max': 3700.0}, {'current': 1914.567, 'min': 1200.0, 'max': 3700.0}, {'current': 1981.992, 'min': 1200.0, 'max': 3700.0}, {'current': 1806.514, 'min': 1200.0, 'max': 3700.0}, {'current': 1696.195, 'min': 1200.0, 'max': 3700.0}, {'current': 1671.38, 'min': 1200.0, 'max': 3700.0}, {'current': 1655.129, 'min': 1200.0, 'max': 3700.0}, {'current': 1655.917, 'min': 1200.0, 'max': 3700.0}, {'current': 1412.683, 'min': 1200.0, 'max': 3700.0}, {'current': 1201.384, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.713, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.078, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.91, 'min': 1200.0, 'max': 3700.0}, {'current': 1201.153, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.844, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.925, 'min': 1200.0, 'max': 3700.0}, {'current': 3186.292, 'min': 1200.0, 'max': 3700.0}, {'current': 2909.704, 'min': 1200.0, 'max': 3700.0}, {'current': 2901.229, 'min': 1200.0, 'max': 3700.0}, {'current': 3209.893, 'min': 1200.0, 'max': 3700.0}, {'current': 2902.228, 'min': 1200.0, 'max': 3700.0}, {'current': 3009.241, 'min': 1200.0, 'max': 3700.0}, {'current': 3227.378, 'min': 1200.0, 'max': 3700.0}, {'current': 2905.038, 'min': 1200.0, 'max': 3700.0}, {'current': 2906.135, 'min': 1200.0, 'max': 3700.0}, {'current': 3247.432, 'min': 1200.0, 'max': 3700.0}, {'current': 2914.149, 'min': 1200.0, 'max': 3700.0}, {'current': 2914.891, 'min': 1200.0, 'max': 3700.0}, {'current': 2895.109, 'min': 1200.0, 'max': 3700.0}, {'current': 2893.591, 'min': 1200.0, 'max': 3700.0}, {'current': 2905.625, 'min': 1200.0, 'max': 3700.0}, {'current': 2898.266, 'min': 1200.0, 'max': 3700.0}, {'current': 2906.763, 'min': 1200.0, 'max': 3700.0}, {'current': 2978.801, 'min': 1200.0, 'max': 3700.0}, {'current': 3542.672, 'min': 1200.0, 'max': 3700.0}, {'current': 2817.129, 'min': 1200.0, 'max': 3700.0}, {'current': 2908.114, 'min': 1200.0, 'max': 3700.0}, {'current': 2922.229, 'min': 1200.0, 'max': 3700.0}, {'current': 3406.276, 'min': 1200.0, 'max': 3700.0}, {'current': 3162.343, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.493, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.168, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.268, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.311, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.701, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.695, 'min': 1200.0, 'max': 3700.0}, {'current': 1201.147, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.406, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.289, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.286, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.915, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.814, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.823, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.822, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.657, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.879, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.529, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.181, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.235, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.875, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.77, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.676, 'min': 1200.0, 'max': 3700.0}, {'current': 1199.857, 'min': 1200.0, 'max': 3700.0}, {'current': 1200.083, 'min': 1200.0, 'max': 3700.0}], 'disk': {'/': {'total': 877.785945892334, 'used': 733.1234931945801}}, 'gpu': 'Tesla V100-SXM3-32GB', 'gpu_count': 16, 'gpu_devices': [{'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}, {'name': 'Tesla V100-SXM3-32GB', 'memory_total': 34359738368}], 'memory': {'total': 1510.5472717285156}}
2024-07-16 14:20:41,325 INFO    HandlerThread:695505 [system_monitor.py:probe():224] Finished collecting system info
2024-07-16 14:20:41,325 INFO    HandlerThread:695505 [system_monitor.py:probe():227] Publishing system info
2024-07-16 14:20:41,328 INFO    HandlerThread:695505 [system_monitor.py:probe():229] Finished publishing system info
2024-07-16 14:20:41,344 DEBUG   SenderThread:695505 [sender.py:send():379] send: files
2024-07-16 14:20:41,345 INFO    SenderThread:695505 [sender.py:_save_file():1390] saving file wandb-metadata.json with policy now
2024-07-16 14:20:41,782 DEBUG   HandlerThread:695505 [handler.py:handle_request():146] handle_request: python_packages
2024-07-16 14:20:41,783 DEBUG   HandlerThread:695505 [handler.py:handle_request():146] handle_request: stop_status
2024-07-16 14:20:41,783 DEBUG   SenderThread:695505 [sender.py:send_request():406] send_request: python_packages
2024-07-16 14:20:41,783 DEBUG   HandlerThread:695505 [handler.py:handle_request():146] handle_request: internal_messages
